,Burnup,Enrichment,Cooling,Surrounding,C1,C2,C3,U235,Pu239,pu241,Gd155,CR,PuEff Mass,PuEff Mass Corrected,CIPN
cp_h_45g_2p_5y_f_v2.m,45,2,5,H2O,0.545755888,1.370514017,-52.26881168,681.7188438,2445.597536,628.4824598,3.234015863,3.47E-05,3.678993629,2.328919812,-1
cp_h_45g_2p_20y_f_v2.m,45,2,20,H2O,0.54720244,1.373242551,-52.51719136,682.9500782,2445.620968,304.6343166,5.838344213,2.91E-05,3.237669724,1.726276874,-1
cp_h_45g_2p_80y_f_v2.m,45,2,80,H2O,0.549791728,1.376466772,-52.98398382,687.3940186,2443.672349,16.81283609,6.157507823,2.53E-05,2.844738204,1.405741823,-1
cp_h_45g_3p_1y_f_v2.m,45,3,1,H2O,0.539068939,1.365374145,-50.9240992,1905.773625,2610.349262,769.3458103,0.842111788,4.49E-05,4.688137505,3.321986388,-1
cp_h_45g_3p_5y_f_v2.m,45,3,5,H2O,0.539161648,1.366135905,-50.93169333,1906.21097,2610.340456,634.2204224,3.098713572,4.14E-05,4.504527596,2.944525949,-1
cp_h_45g_3p_20y_f_v2.m,45,3,20,H2O,0.540665081,1.369123461,-51.1849716,1907.797573,2610.214427,307.4045449,5.589023443,3.50E-05,4.06256873,2.35373877,-1
cp_h_45g_3p_80y_f_v2.m,45,3,80,H2O,0.542867339,1.371838286,-51.61135439,1913.0108,2607.637426,16.95965657,5.89456595,3.09E-05,3.669414414,2.034513082,-1
cp_h_45g_4p_1y_f_v2.m,45,4,1,H2O,0.529420669,1.359214509,-48.94882202,3935.668852,2817.181923,767.1052611,0.797794444,5.63E-05,5.943466962,4.240654066,-1
cp_h_45g_4p_5y_f_v2.m,45,4,5,H2O,0.529542435,1.36013638,-48.97470145,3936.280077,2817.084487,632.3447805,2.912215859,5.24E-05,5.761586966,3.879813489,-1
cp_h_45g_4p_20y_f_v2.m,45,4,20,H2O,0.530784304,1.362836143,-49.21123304,3938.363433,2816.810447,306.4932888,5.245320692,4.49E-05,5.324932073,3.309871279,-1
cp_h_45g_4p_80y_f_v2.m,45,4,80,H2O,0.533192149,1.365864133,-49.65652327,3944.661794,2813.717595,16.90539423,5.531262534,4.04E-05,4.940070766,2.998800463,-1
cp_h_45g_5p_1y_f_v2.m,45,5,1,H2O,0.518338255,1.352048132,-46.70001647,6632.688724,3032.204775,752.6665155,0.750973972,7.10E-05,7.487822432,5.370003107,-1
cp_h_45g_5p_5y_f_v2.m,45,5,5,H2O,0.518744391,1.352915846,-46.77007825,6633.455084,3032.254751,620.4802347,2.712813339,6.66E-05,7.312779912,5.030624444,-1
cp_h_45g_5p_20y_f_v2.m,45,5,20,H2O,0.520329042,1.356238708,-47.04790459,6636.180659,3031.795022,300.7117221,4.877576517,5.82E-05,6.892629425,4.490884267,-1
cp_h_45g_5p_80y_f_v2.m,45,5,80,H2O,0.522123873,1.359215271,-47.37559852,6644.044506,3028.402082,16.5849276,5.142765486,5.28E-05,6.519958817,4.190930321,-1
cp_h_60g_2p_1y_f_v2.m,60,2,1,H2O,0.545643638,1.369762594,-52.21735518,258.305204,2495.413067,827.4188068,1.089398939,3.49E-05,3.769722989,2.388533195,-1
cp_h_60g_2p_5y_f_v2.m,60,2,5,H2O,0.545407134,1.370471526,-52.16299971,258.6221788,2495.649578,682.1540153,4.017764436,3.19E-05,3.571576614,1.969675326,-1
cp_h_60g_2p_20y_f_v2.m,60,2,20,H2O,0.54681489,1.373475827,-52.40534692,259.7669595,2496.177923,330.6857533,7.250130751,2.61E-05,3.092411253,1.334917605,-1
cp_h_60g_2p_80y_f_v2.m,60,2,80,H2O,0.549396046,1.37667449,-52.88545139,264.1610475,2495.196122,18.27680612,7.648065203,2.26E-05,2.66548637,1.013199933,-1
cp_h_60g_3p_1y_f_v2.m,60,3,1,H2O,0.541628779,1.367385732,-51.38148676,855.8618475,2623.341321,863.1701195,1.107473051,3.80E-05,4.267187234,2.71607891,-1
cp_h_60g_3p_5y_f_v2.m,60,3,5,H2O,0.541443719,1.368258677,-51.34588877,856.2916986,2623.438765,711.5908597,4.06997986,3.46E-05,4.060712895,2.288353859,-1
cp_h_60g_3p_20y_f_v2.m,60,3,20,H2O,0.542975767,1.371203071,-51.60596055,857.6819959,2623.866863,344.9516266,7.339682342,2.87E-05,3.562566132,1.637362514,-1
cp_h_60g_3p_80y_f_v2.m,60,3,80,H2O,0.545506052,1.374407038,-52.0876135,862.6292357,2622.423078,19.05215248,7.742304454,2.49E-05,3.11917796,1.304285626,-1
cp_h_60g_4p_1y_f_v2.m,60,4,1,H2O,0.535787716,1.363524394,-50.18427307,1945.074398,2778.739404,878.1610005,1.089797095,4.36E-05,5.01828032,3.215039033,-1
cp_h_60g_4p_5y_f_v2.m,60,4,5,H2O,0.535589997,1.364420332,-50.15184779,1945.625995,2778.926119,723.9816397,3.984782406,3.99E-05,4.808799209,2.791956865,-1
cp_h_60g_4p_20y_f_v2.m,60,4,20,H2O,0.537190701,1.367588273,-50.43295009,1947.404722,2779.13793,350.9267428,7.179976593,3.34E-05,4.305188936,2.144668431,-1
cp_h_60g_4p_80y_f_v2.m,60,4,80,H2O,0.539699489,1.37080448,-50.90241859,1953.203548,2777.135923,19.37271862,7.573193371,2.93E-05,3.857835089,1.809890254,-1
cp_h_60g_5p_1y_f_v2.m,60,5,1,H2O,0.526272457,1.358322564,-48.13845327,3870.98306,3126.519037,973.2321358,1.123376661,5.37E-05,6.485673973,4.183154748,-1
cp_h_60g_5p_5y_f_v2.m,60,5,5,H2O,0.52627013,1.359079335,-48.13925421,3871.730447,3126.662122,802.3447553,4.062918051,4.92E-05,6.254688384,3.74145939,-1
cp_h_60g_5p_20y_f_v2.m,60,5,20,H2O,0.527863014,1.362976995,-48.41039587,3874.386148,3126.686863,388.8999354,7.307433524,4.14E-05,5.701893677,3.056765499,-1
cp_h_60g_5p_80y_f_v2.m,60,5,80,H2O,0.530697751,1.366813775,-48.93694157,3881.729054,3124.171681,21.46356843,7.706345439,3.67E-05,5.213533262,2.694281478,-1
