filename,id,DN,Surrounding,Cooling,full,Enrichment,Burnup,241Pu Mass,Bkg Count (700s),DN Theor. Uncert. (150+700),DN + Bkg MCNPX Uncert (300+1400),FC for each DN ,Source Adj. DN Ct.  (0-300s),Bkg Count (1400s.),Final DN ct. rate,244Cm Mass,DN Theor. Uncert. (300+1400),N (235U Mass),Nu bar,DN Ct. (200-300s),Bkg Count (150s),N (241Pu Mass),Bkg MCNPX Uncert,DN / Fission (%),238Pu Mass,DN + Bkg Theor. Uncert. (300+1400),Bkd Theor. Uncert. (700s) ,242Cm Yield,DN + Bkg Theor. Uncert. (150+700),CR,N (239Pu Mass),DN MCNPX Uncert. (300+1400),% Difference,FC mike,241Am Mass,DN Ct. (0-700s),FC with Mult., Prompt Neutron Source,242Pu Mass,Bkg MCNPX Uncert. (700s),DN + Bkg Ct. (150+700),Mult ^ q,240Pu Mass,DN Ct.  (0-300s),241Am Yield,Net Mult,#,MCNPX Uncert.,Net Mult.,MCNPX Uncert ,Theor. Uncert.,DN Count Rate w/ Mult.^2,Fission XC,240Pu Yield,Present FC,DN + Bkg MCNPX Uncert (150+700),PuEff Mass,242Pu Yield,238Pu Yield,FC w/ mult^2,Bkg MCNPX Uncert. (1400s),238U Mass,DN + Bkg Ct. (300+1400),239Pu Mass,Bkg Tally,242Cm Mass,244Cm Yield,DN Signal,q,Bkg Theor. Uncert. (1400s),Fissile Content,DN MCNPX Uncert. (150+700),235U Mass
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_4pct_20yr_full.o,H2O_15GWd_4pct_20yr,-1,H2O,20,-1,4,15,75.83,738000,2810,231000,4610,6400000,1480000,42700,0.11,43400,3.04E+25,2.8,622000000,158000,1.89E+23,0.0028,0,7.04,43400,859,0,2670,42700,5.18E+24,327000,0,52.2,123.7,1870000000,1638.49,1600000,22.27,2070,6560000,5.32,391,1780000000,145.97,3.3,11,116000,3.3,231000,43300,8022.85,1.01E-21,399000,308.02,200000,308,38300,18200,3353.74,4130,446700,1870000000,2058,0.000658,0,1150000,6401535.77,1.4,1220,3.07,200000,11860
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_4pct_80yr_full.o,H2O_15GWd_4pct_80yr,-1,H2O,80,-1,4,15,4.18,252000,2560,211000,4490,6070000,503000,40400,0.01,42200,3.04E+25,2.8,589000000,53900,1.04E+22,0.003,0,4.38,42200,502,0,2510,40400,5.18E+24,299000,0,935,179.3,1770000000,1566.36,561000,22.27,755,6120000,5.13,388.6,1680000000,211.57,3.22,12,106000,3.22,211000,42200,7877.98,1.01E-21,396000,305.09,182000,305,38300,11300,3157.75,1510,446700,1770000000,2055,0.000641,0,115000,6067016.09,1.4,710,0.169,182000,11860
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_5pct_1yr_full.o,H2O_15GWd_5pct_1yr,-1,H2O,1,-1,5,15,157.1,1740000,3720,441000,5870,10400000,3490000,69000,0.12,55200,4.13E+25,2.8,1010000000,373000,3.92E+23,0.0027,0,7.03,55200,1320,1360000,3480,69000,5.17E+24,624000,0,25.5,9.96,3030000000,3153.3,3010000,14.71,4700,10700000,7.64,326.4,2870000000,11.76,4.27,13,222000,4.27,441000,55100,9036.61,1.01E-21,333000,412.75,381000,413,25300,18200,7537.54,9410,442400,3030000000,2051,0.000827,0.0647,1280000,10355710.75,1.4,1870,6.36,381000,16140
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_5pct_5yr_full.o,H2O_15GWd_5pct_5yr,-1,H2O,5,-1,5,15,129.5,831000,3420,419000,5790,10100000,1660000,67100,0.1,54400,4.13E+25,2.8,978000000,178000,3.23E+23,0.0027,0,6.87,54400,912,2380,3300,67100,5.17E+24,592000,0,30.8,37.41,2940000000,3063.98,1470000,14.71,2240,10200000,7.44,326.3,2790000000,44.14,4.19,14,211000,4.19,418000,54400,9015.96,1.01E-21,333000,411.63,362000,412,25300,17800,7242.81,4490,442400,2950000000,2051,0.000807,0.000113,1090000,10066639.85,1.4,1290,5.24,362000,16140
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_5pct_20yr_full.o,H2O_15GWd_5pct_20yr,-1,H2O,20,-1,5,15,62.76,547000,3260,393000,5640,9530000,1090000,63600,0.06,52900,4.13E+25,2.8,926000000,117000,1.57E+23,0.0027,0,6.1,52900,739,0,3180,63600,5.16E+24,556000,0,62.9,102.4,2790000000,2915.75,990000,14.71,1480,9650000,7.13,325.8,2650000000,120.83,4.07,15,198000,4.07,393000,52900,8914.64,1.01E-21,332000,408.91,340000,409,25300,15800,6766.64,2950,442400,2790000000,2050,0.000789,0,616000,9534839.88,1.4,1050,2.54,340000,16140
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_5pct_80yr_full.o,H2O_15GWd_5pct_80yr,-1,H2O,80,-1,5,15,3.46,231000,3100,364000,5520,9130000,463000,60900,0.01,51800,4.14E+25,2.8,887000000,49600,8.64E+21,0.0029,0,3.8,51800,481,0,3060,60900,5.16E+24,515000,0,1130,148.4,2670000000,2799.88,427000,14.7,671,9180000,6.88,323.8,2530000000,175.11,3.97,16,184000,3.97,364000,51800,8844.13,1.01E-21,330000,406.72,315000,407,25300,9840,6400.53,1340,442400,2670000000,2047,0.000773,0,61900,9132581.27,1.4,680,0.14,315000,16150
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_2pct_1yr_full.o,H2O_30GWd_2pct_1yr,-1,H2O,1,-1,2,30,605.4,91200000,13600,459000,2260,1550000,182000000,10300,27.33,28600,4.38E+24,2.8,150000000,19500000,1.51E+24,0.0025,0,61.01,25200,9550,32800000,9630,10300,5.86E+24,462000,0,8.19,43.16,452000000,234.26,330000000,311.2,228000,21100000,2.55,1129,430000000,50.93,1.95,17,26300,1.95,52200,21300,4043.69,1.01E-21,1150000,91.77,232000,91.8,535000,158000,350.05,456000,447700,635000000,2327,0.000395,1.56,295000000,1548401.81,1.4,13500,24.5,326000,1708
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_2pct_5yr_full.o,H2O_30GWd_2pct_5yr,-1,H2O,5,-1,2,30,499,68000000,11700,357000,2140,1400000,136000000,9320,23.45,26100,4.38E+24,2.8,136000000,14600000,1.25E+24,0.0026,0,60.6,23400,8240,69900,8330,9320,5.86E+24,360000,0,9.57,148.9,408000000,211.46,255000000,311.2,177000,16000000,2.42,1132,388000000,175.7,1.88,18,23900,1.88,47400,20200,3852.75,1.01E-21,1150000,87.46,181000,87.5,535000,157000,308.72,353000,447700,544000000,2327,0.000381,0.00333,253000000,1397318.12,1.4,11700,20.2,253000,1708
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_2pct_20yr_full.o,H2O_30GWd_2pct_20yr,-1,H2O,20,-1,2,30,241.8,35800000,8520,190000,1930,1140000,71500000,7600,13.2,21800,4.38E+24,2.8,111000000,7660000,6.04E+23,0.0026,0,53.84,20100,5980,3970,6070,7600,5.86E+24,194000,0,17.9,399.2,333000000,168.22,144000000,311.2,93000,8800000,2.18,1140,316000000,471.06,1.75,19,20200,1.75,40100,18300,3479.93,1.01E-21,1160000,77.06,99200,77.1,535000,139000,235.07,186000,447700,404000000,2326,0.000354,0.000189,143000000,1139548.65,1.4,8460,9.79,136000,1709
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_2pct_80yr_full.o,H2O_30GWd_2pct_80yr,-1,H2O,80,-1,2,30,13.33,3800000,2930,39800,1780,968000,7590000,6450,1.33,17300,4.39E+24,2.8,93800000,814000,3.33E+22,0.0027,0,33.52,17100,1950,548,2180,6450,5.85E+24,52500,0,295,576,282000000,137.75,16100000,311.2,10300,1780000,2.03,1145,269000000,679.68,1.66,20,17200,1.66,34200,16800,3179.3,1.01E-21,1170000,67.87,31200,67.9,535000,86800,186.56,20500,447700,290000000,2323,0.000337,2.61E-05,14300000,967922.59,1.4,2760,0.54,32900,1713
